data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-11-16,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,45,,,19,0,64,103,64,,,,
2020-11-17,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,45,0,1,20,0,65,111,65,,,,
2020-11-18,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,42,-3,2,25,0,67,113,67,,,,
2020-11-19,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,42,0,0,25,0,67,115,67,,,,
2020-11-20,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,43,1,1,25,0,68,119,68,,,,
2020-11-21,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,43,0,0,25,0,68,123,68,,,,
2020-11-23,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,46,3,6,28,0,74,137,74,,,,
2020-11-24,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,41,-5,2,34,0,76,141,76,,,,
2020-11-25,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,50,9,9,35,0,85,144,85,,,,
2020-11-26,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,49,-1,2,38,0,87,148,87,,,,
2020-11-27,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,47,-2,1,41,0,88,151,88,,,,
2020-11-29,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,50,3,3,41,0,91,160,91,,,,
2020-11-30,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,50,0,1,42,0,92,162,92,,,,
2020-12-01,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,46,-4,6,52,0,98,168,98,,,,
2020-12-02,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,40,-6,0,58,0,98,171,98,,,,
2020-12-03,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,45,5,6,59,0,104,178,104,,,,
2020-12-04,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,44,-1,3,63,0,107,180,107,,,,
2020-12-05,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,44,0,0,63,0,107,186,107,,,,
2020-12-06,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,46,2,2,63,0,109,191,109,,,,
2020-12-08,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,51,5,6,64,0,115,191,115,,,,
2020-12-09,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,51,0,5,69,0,120,191,120,,,,
2020-12-10,PA,082004,Altavilla Milicia,38.0421,13.54901,,,,,51,0,0,69,0,120,193,120,,,,
