data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-11-16,PA,082006,Bagheria,38.078918,13.512365,,,,,311,,,220,23,554,874,554,,,,
2020-11-17,PA,082006,Bagheria,38.078918,13.512365,,,,,333,22,33,231,23,587,905,587,,,,
2020-11-18,PA,082006,Bagheria,38.078918,13.512365,,,,,349,16,23,236,25,610,930,610,,,,
2020-11-19,PA,082006,Bagheria,38.078918,13.512365,,,,,381,32,34,237,26,644,956,644,,,,
2020-11-20,PA,082006,Bagheria,38.078918,13.512365,,,,,402,21,49,265,26,693,1004,693,,,,
2020-11-21,PA,082006,Bagheria,38.078918,13.512365,,,,,399,-3,10,278,26,703,1086,703,,,,
2020-11-23,PA,082006,Bagheria,38.078918,13.512365,,,,,411,12,30,296,26,733,1169,733,,,,
2020-11-24,PA,082006,Bagheria,38.078918,13.512365,,,,,404,-7,14,317,26,747,1225,747,,,,
2020-11-25,PA,082006,Bagheria,38.078918,13.512365,,,,,456,52,56,321,26,803,1269,803,,,,
2020-11-26,PA,082006,Bagheria,38.078918,13.512365,,,,,464,8,27,340,26,830,1307,830,,,,
2020-11-27,PA,082006,Bagheria,38.078918,13.512365,,,,,469,5,25,357,29,855,1346,855,,,,
2020-11-29,PA,082006,Bagheria,38.078918,13.512365,,,,,452,-17,0,383,41,855,1405,855,,,,
2020-11-30,PA,082006,Bagheria,38.078918,13.512365,,,,,449,-3,21,404,41,876,1476,876,,,,
2020-12-01,PA,082006,Bagheria,38.078918,13.512365,,,,,438,-11,27,424,41,903,1494,903,,,,
2020-12-02,PA,082006,Bagheria,38.078918,13.512365,,,,,427,-11,11,446,41,914,1531,914,,,,
2020-12-03,PA,082006,Bagheria,38.078918,13.512365,,,,,456,29,29,446,41,943,1566,943,,,,
2020-12-04,PA,082006,Bagheria,38.078918,13.512365,,,,,461,5,23,464,41,966,1598,966,,,,
2020-12-05,PA,082006,Bagheria,38.078918,13.512365,,,,,387,-74,2,540,41,968,1617,968,,,,
2020-12-06,PA,082006,Bagheria,38.078918,13.512365,,,,,409,22,26,544,41,994,1647,994,,,,
2020-12-08,PA,082006,Bagheria,38.078918,13.512365,,,,,400,-9,27,580,41,1021,1688,1021,,,,
2020-12-09,PA,082006,Bagheria,38.078918,13.512365,,,,,391,-9,8,596,42,1029,1717,1029,,,,
2020-12-10,PA,082006,Bagheria,38.078918,13.512365,,,,,397,6,7,597,42,1036,1757,1036,,,,
2020-12-11,PA,082006,Bagheria,38.078918,13.512365,,,,,364,-33,16,646,42,1052,1780,1052,,,,
2020-12-12,PA,082006,Bagheria,38.078918,13.512365,,,,,351,-13,10,655,56,1062,1800,1062,,,,
2020-12-14,PA,082006,Bagheria,38.078918,13.512365,,,,,347,-4,15,674,56,1077,1840,1077,,,,
2020-12-15,PA,082006,Bagheria,38.078918,13.512365,,,,,346,-1,17,691,57,1094,1861,1094,,,,
2020-12-16,PA,082006,Bagheria,38.078918,13.512365,,,,,293,-53,16,760,57,1110,1882,1110,,,,
2020-12-17,PA,082006,Bagheria,38.078918,13.512365,,,,,303,10,10,760,57,1120,1919,1120,,,,
2020-12-20,PA,082006,Bagheria,38.078918,13.512365,,,,,309,6,22,775,59,1142,1994,1142,,,,
2020-12-21,PA,082006,Bagheria,38.078918,13.512365,,,,,314,5,39,809,59,1181,2012,1181,,,,
2020-12-22,PA,082006,Bagheria,38.078918,13.512365,,,,,313,-1,2,811,60,1183,2035,1183,,,,
2020-12-25,PA,082006,Bagheria,38.078918,13.512365,,,,,331,18,26,818,61,1209,2102,1209,,,,
2020-12-28,PA,082006,Bagheria,38.078918,13.512365,,,,,346,15,31,833,62,1240,2221,1240,,,,
