data,comune,count,mean,std,min,25%,50%,75%,max
2021-05-25,Bagheria,85,41,22,0,19,44,57,92
2021-05-26,Bagheria,88,40,22,0,18,43,57,92
2021-05-27,Bagheria,86,41,22,1,18,43,58,92
2021-05-28,Bagheria,86,41,22,1,18,44,61,92
2021-05-29,Bagheria,87,40,22,1,18,44,59,92
2021-05-30,Bagheria,89,40,22,1,18,44,58,92
2021-05-31,Bagheria,85,40,22,1,18,44,58,92
2021-06-01,Bagheria,83,40,22,1,18,44,58,92
2021-06-02,Bagheria,83,40,22,1,18,44,59,92
2021-06-03,Bagheria,81,40,22,1,18,44,58,92
2021-06-04,Bagheria,74,41,22,1,18,46,61,92
2021-06-05,Bagheria,74,41,22,1,18,46,61,92
2021-06-06,Bagheria,74,41,22,1,18,46,61,92
2021-06-07,Bagheria,48,45,23,1,18,48,64,92
2021-06-08,Bagheria,47,44,23,10,18,47,64,92
2021-06-09,Bagheria,44,46,23,10,18,52,64,92
2021-06-10,Bagheria,39,45,23,10,18,51,64,92
2021-06-11,Bagheria,37,45,24,10,18,50,64,92
2021-06-12,Bagheria,42,43,23,6,17,49,63,92
2021-06-13,Bagheria,45,42,23,6,17,49,63,92
2021-06-14,Bagheria,48,40,23,6,17,43,59,92
2021-06-15,Bagheria,38,41,23,6,17,45,61,92
2021-06-17,Bagheria,39,42,22,6,24,41,59,92
2021-06-18,Bagheria,35,42,22,6,25,41,59,92
2021-06-19,Bagheria,35,42,22,6,25,41,59,92
2021-06-20,Bagheria,35,42,22,6,25,41,59,92
2021-06-21,Bagheria,32,38,22,1,22,35,54,92
2021-06-22,Bagheria,24,35,19,1,22,30,52,68
2021-06-23,Bagheria,23,34,19,1,21,29,46,68
2021-06-24,Bagheria,25,32,19,1,18,28,42,68
2021-06-25,Bagheria,25,32,19,1,18,28,42,68
2021-06-26,Bagheria,25,32,19,1,18,28,42,68
2021-06-27,Bagheria,25,32,19,1,18,28,42,68
2021-06-28,Bagheria,21,25,16,1,16,25,31,65
2021-06-29,Bagheria,22,26,17,1,16,25,34,65
2021-06-30,Bagheria,21,25,17,1,16,25,31,65
2021-07-01,Bagheria,18,26,19,1,14,26,34,65
2021-07-04,Bagheria,16,27,19,1,15,28,35,65
2021-07-05,Bagheria,11,33,21,1,21,35,50,65
2021-07-07,Bagheria,10,40,18,2,35,37,52,65
2021-07-08,Bagheria,7,44,11,35,36,39,50,65
2021-07-09,Bagheria,14,46,19,15,36,47,55,92
2021-07-10,Bagheria,14,46,19,15,36,47,55,92
2021-07-11,Bagheria,14,46,19,15,36,47,55,92
2021-07-14,Bagheria,14,38,23,1,19,37,54,92
2021-07-15,Bagheria,14,38,23,1,19,37,54,92
2021-07-16,Bagheria,21,32,23,0,15,33,49,92
2021-07-17,Bagheria,25,32,21,0,16,33,47,92
2021-07-18,Bagheria,25,32,21,0,16,33,47,92
2021-07-19,Bagheria,30,31,21,0,16,29,46,92
2021-07-20,Bagheria,31,30,21,0,15,24,46,92
2021-07-21,Bagheria,30,29,20,0,15,22,44,92
2021-07-22,Bagheria,32,29,20,0,15,22,45,92
2021-07-24,Bagheria,33,30,20,0,16,24,45,92
2021-07-26,Bagheria,49,31,21,0,16,24,47,92
2021-07-27,Bagheria,48,31,21,0,15,25,47,92
2021-07-28,Bagheria,47,32,20,0,17,26,48,92
2021-07-29,Bagheria,61,34,20,0,18,36,48,92
2021-07-30,Bagheria,61,34,20,0,18,36,48,92
2021-07-31,Bagheria,82,35,20,0,18,35,49,92
2021-08-01,Bagheria,82,35,20,0,18,35,49,92
2021-08-02,Bagheria,86,35,20,0,18,35,50,92
