data,comune,count,mean,std,min,25%,50%,75%,max
2021-05-25,Bagheria,85,41,22,0,19,44,57,92
2021-05-26,Bagheria,88,40,22,0,18,43,57,92
2021-05-27,Bagheria,86,41,22,1,18,43,58,92
2021-05-28,Bagheria,86,41,22,1,18,44,61,92
2021-05-29,Bagheria,87,40,22,1,18,44,59,92
2021-05-30,Bagheria,89,40,22,1,18,44,58,92
2021-05-31,Bagheria,85,40,22,1,18,44,58,92
2021-06-01,Bagheria,83,40,22,1,18,44,58,92
2021-06-02,Bagheria,83,40,22,1,18,44,59,92
2021-06-03,Bagheria,81,40,22,1,18,44,58,92
2021-06-04,Bagheria,74,41,22,1,18,46,61,92
2021-06-05,Bagheria,74,41,22,1,18,46,61,92
2021-06-06,Bagheria,74,41,22,1,18,46,61,92
2021-06-07,Bagheria,48,45,23,1,18,48,64,92
2021-06-08,Bagheria,47,44,23,10,18,47,64,92
2021-06-09,Bagheria,44,46,23,10,18,52,64,92
2021-06-10,Bagheria,39,45,23,10,18,51,64,92
2021-06-11,Bagheria,37,45,24,10,18,50,64,92
2021-06-12,Bagheria,42,43,23,6,17,49,63,92
2021-06-13,Bagheria,45,42,23,6,17,49,63,92
2021-06-14,Bagheria,48,40,23,6,17,43,59,92
2021-06-15,Bagheria,38,41,23,6,17,45,61,92
2021-06-17,Bagheria,39,42,22,6,24,41,59,92
2021-06-18,Bagheria,35,42,22,6,25,41,59,92
2021-06-19,Bagheria,35,42,22,6,25,41,59,92
2021-06-20,Bagheria,35,42,22,6,25,41,59,92
2021-06-21,Bagheria,32,38,22,1,22,35,54,92
2021-06-22,Bagheria,24,35,19,1,22,30,52,68
2021-06-23,Bagheria,23,34,19,1,21,29,46,68
2021-06-24,Bagheria,25,32,19,1,18,28,42,68
2021-06-25,Bagheria,25,32,19,1,18,28,42,68
2021-06-26,Bagheria,25,32,19,1,18,28,42,68
2021-06-27,Bagheria,25,32,19,1,18,28,42,68
2021-06-28,Bagheria,21,25,16,1,16,25,31,65
2021-06-29,Bagheria,22,26,17,1,16,25,34,65
2021-06-30,Bagheria,21,25,17,1,16,25,31,65
2021-07-01,Bagheria,18,26,19,1,14,26,34,65
2021-07-04,Bagheria,16,27,19,1,15,28,35,65
2021-07-05,Bagheria,11,33,21,1,21,35,50,65
2021-07-07,Bagheria,10,40,18,2,35,37,52,65
2021-07-08,Bagheria,7,44,11,35,36,39,50,65
2021-07-09,Bagheria,14,46,19,15,36,47,55,92
2021-07-10,Bagheria,14,46,19,15,36,47,55,92
2021-07-11,Bagheria,14,46,19,15,36,47,55,92
2021-07-14,Bagheria,14,38,23,1,19,37,54,92
2021-07-15,Bagheria,14,38,23,1,19,37,54,92
2021-07-16,Bagheria,21,32,23,0,15,33,49,92
2021-07-17,Bagheria,25,32,21,0,16,33,47,92
2021-07-18,Bagheria,25,32,21,0,16,33,47,92
2021-07-19,Bagheria,30,31,21,0,16,29,46,92
2021-07-20,Bagheria,31,30,21,0,15,24,46,92
2021-07-21,Bagheria,30,29,20,0,15,22,44,92
2021-07-22,Bagheria,32,29,20,0,15,22,45,92
2021-07-24,Bagheria,33,30,20,0,16,24,45,92
2021-07-26,Bagheria,49,31,21,0,16,24,47,92
2021-07-27,Bagheria,48,31,21,0,15,25,47,92
2021-07-28,Bagheria,47,32,20,0,17,26,48,92
2021-07-29,Bagheria,61,34,20,0,18,36,48,92
2021-07-30,Bagheria,61,34,20,0,18,36,48,92
2021-07-31,Bagheria,82,35,20,0,18,35,49,92
2021-08-01,Bagheria,82,35,20,0,18,35,49,92
2021-08-02,Bagheria,86,35,20,0,18,35,50,92
2021-08-03,Bagheria,96,33,20,0,17,31,50,92
2021-08-05,Bagheria,107,32,19,0,17,26,48,92
2021-08-06,Bagheria,104,32,19,0,17,25,48,92
2021-08-08,Bagheria,110,32,19,0,17,25,48,92
2021-08-09,Bagheria,115,31,18,0,17,25,48,92
2021-08-10,Bagheria,113,31,19,0,17,25,48,92
2021-08-11,Bagheria,107,31,19,0,17,24,47,92
2021-08-12,Bagheria,116,31,19,0,16,24,45,92
2021-08-13,Bagheria,114,32,18,0,17,30,45,92
2021-08-16,Bagheria,128,34,19,0,17,34,49,92
2021-08-17,Bagheria,123,33,19,0,17,34,48,78
2021-08-19,Bagheria,116,33,19,0,17,34,49,78
2021-08-20,Bagheria,108,34,19,0,17,34,49,78
2021-08-22,Bagheria,99,34,19,0,17,34,49,78
2021-08-25,Bagheria,163,34,20,2,17,34,48,85
2021-08-31,Bagheria,198,36,21,0,18,35,52,85
2021-09-03,Bagheria,251,37,21,0,19,36,54,91
2021-09-04,Bagheria,254,37,22,0,19,37,54,91
2021-09-06,Bagheria,292,37,22,0,19,36,54,91
2021-09-07,Bagheria,293,37,22,0,19,36,54,91
2021-09-08,Bagheria,278,37,22,0,19,36,54,91
2021-09-09,Bagheria,262,37,22,0,18,35,54,91
2021-09-12,Bagheria,247,37,23,0,19,36,55,91
2021-09-13,Bagheria,229,38,23,0,22,37,56,91
2021-09-14,Bagheria,226,37,23,0,19,37,55,91
2021-09-15,Bagheria,205,37,23,0,19,35,55,91
2021-09-16,Bagheria,198,37,23,0,18,34,54,91
2021-09-17,Bagheria,178,37,22,0,19,34,54,91
2021-09-18,Bagheria,179,37,22,0,19,35,54,91
2021-09-19,Bagheria,182,36,22,0,20,34,54,91
2021-09-20,Bagheria,168,37,22,0,19,34,55,91
2021-09-21,Bagheria,154,38,23,0,19,34,56,91
2021-09-22,Bagheria,130,39,23,0,21,37,58,91
2021-09-23,Bagheria,125,41,23,0,22,40,59,91
2021-09-24,Bagheria,123,42,23,0,23,44,60,91
2021-09-25,Bagheria,123,42,23,0,23,44,60,91
2021-09-26,Bagheria,123,42,23,0,23,44,60,91
2021-09-28,Bagheria,127,42,23,0,23,44,60,91
2021-09-29,Bagheria,84,41,23,0,23,40,59,91
2021-09-30,Bagheria,99,40,24,0,22,40,58,91
2021-10-01,Bagheria,104,39,23,0,23,39,58,91
2021-10-02,Bagheria,105,39,23,0,23,39,58,91
2021-10-03,Bagheria,108,38,23,0,20,36,56,91
2021-10-04,Bagheria,108,38,23,0,20,36,56,91
2021-10-06,Bagheria,65,39,24,1,17,40,56,87
2021-10-07,Bagheria,64,38,25,1,16,39,56,87
2021-10-08,Bagheria,61,38,25,1,14,40,56,87
2021-10-09,Bagheria,58,39,25,2,14,41,55,87
2021-10-10,Bagheria,58,39,25,2,14,41,55,87
2021-10-11,Bagheria,54,39,26,2,12,40,57,87
2021-10-12,Bagheria,53,39,26,2,12,40,58,87
