data,comune,count,mean,std,min,25%,50%,75%,max
2021-05-25,Santa Flavia,22,42,24,6,22,42,64,87
2021-05-26,Santa Flavia,21,43,25,6,20,44,68,87
2021-05-27,Santa Flavia,16,43,24,6,27,42,59,87
2021-05-28,Santa Flavia,15,41,24,6,25,40,54,87
2021-05-29,Santa Flavia,16,43,24,6,27,42,59,87
2021-05-30,Santa Flavia,16,43,24,6,27,42,59,87
2021-05-31,Santa Flavia,16,43,24,6,27,42,59,87
2021-06-01,Santa Flavia,16,43,24,6,27,42,59,87
2021-06-02,Santa Flavia,16,43,24,6,27,42,59,87
2021-06-03,Santa Flavia,15,43,25,6,25,40,63,87
2021-06-04,Santa Flavia,14,41,25,6,22,40,54,87
2021-06-05,Santa Flavia,14,41,25,6,22,40,54,87
2021-06-06,Santa Flavia,14,41,25,6,22,40,54,87
2021-06-07,Santa Flavia,14,43,24,6,31,42,56,87
2021-06-08,Santa Flavia,13,44,25,6,30,45,57,87
2021-06-09,Santa Flavia,12,47,23,9,37,49,60,87
2021-06-10,Santa Flavia,10,52,22,9,41,54,67,87
2021-06-11,Santa Flavia,11,49,23,9,35,53,64,87
2021-06-12,Santa Flavia,11,49,23,9,35,53,64,87
2021-06-13,Santa Flavia,11,49,23,9,35,53,64,87
2021-06-14,Santa Flavia,11,49,23,9,35,53,64,87
2021-06-15,Santa Flavia,11,49,23,9,35,53,64,87
2021-06-17,Santa Flavia,12,45,24,9,28,42,59,87
2021-06-18,Santa Flavia,11,42,23,9,27,40,54,87
2021-06-19,Santa Flavia,10,41,24,9,26,37,51,87
2021-06-20,Santa Flavia,10,41,24,9,26,37,51,87
2021-06-21,Santa Flavia,10,41,24,9,26,37,51,87
2021-06-22,Santa Flavia,2,25,13,16,20,25,30,35
2021-06-23,Santa Flavia,2,25,13,16,20,25,30,35
2021-06-24,Santa Flavia,2,25,13,16,20,25,30,35
2021-06-25,Santa Flavia,2,25,13,16,20,25,30,35
2021-06-26,Santa Flavia,2,25,13,16,20,25,30,35
2021-06-27,Santa Flavia,2,25,13,16,20,25,30,35
2021-06-28,Santa Flavia,1,35,0,35,35,35,35,35
2021-06-29,Santa Flavia,1,35,0,35,35,35,35,35
2021-06-30,Santa Flavia,1,35,0,35,35,35,35,35
2021-07-01,Santa Flavia,1,35,0,35,35,35,35,35
2021-07-04,Santa Flavia,1,35,0,35,35,35,35,35
2021-07-05,Santa Flavia,1,35,0,35,35,35,35,35
2021-07-07,Santa Flavia,1,35,0,35,35,35,35,35
