data,comune,count,mean,std,min,25%,50%,75%,max
2021-05-25,Ficarazzi,16,47,23,0,29,46,64,85
2021-05-26,Ficarazzi,16,47,23,0,29,46,64,85
2021-05-27,Ficarazzi,16,47,23,0,29,46,64,85
2021-05-28,Ficarazzi,16,47,23,0,29,46,64,85
2021-05-29,Ficarazzi,16,47,23,0,29,46,64,85
2021-05-30,Ficarazzi,19,42,24,0,26,37,62,85
2021-05-31,Ficarazzi,22,39,24,0,24,33,60,85
2021-06-01,Ficarazzi,22,39,24,0,24,33,60,85
2021-06-02,Ficarazzi,22,39,24,0,24,33,60,85
2021-06-03,Ficarazzi,22,39,24,0,24,33,60,85
2021-06-04,Ficarazzi,18,41,23,0,25,36,60,85
2021-06-05,Ficarazzi,18,41,23,0,25,36,60,85
2021-06-06,Ficarazzi,18,41,23,0,25,36,60,85
2021-06-07,Ficarazzi,16,44,23,0,28,41,62,85
2021-06-08,Ficarazzi,16,44,23,0,28,41,62,85
2021-06-09,Ficarazzi,14,47,23,0,30,46,62,85
2021-06-10,Ficarazzi,4,28,25,0,18,26,37,62
2021-06-11,Ficarazzi,3,17,15,0,12,24,26,29
2021-06-12,Ficarazzi,3,17,15,0,12,24,26,29
2021-06-13,Ficarazzi,3,17,15,0,12,24,26,29
2021-06-14,Ficarazzi,3,17,15,0,12,24,26,29
2021-06-15,Ficarazzi,3,17,15,0,12,24,26,29
2021-06-17,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-18,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-19,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-20,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-21,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-22,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-23,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-24,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-25,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-26,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-27,Ficarazzi,0,0,0,0,0,0,0,0
2021-06-28,Ficarazzi,0,0,0,0,0,0,0,0
