data,comune,nuovi_positivi,deceduti
2020-09-23,Casteldaccia,1,0
2020-09-24,Casteldaccia,0,0
2020-09-25,Casteldaccia,0,0
2020-09-26,Casteldaccia,0,0
2020-09-27,Casteldaccia,0,0
2020-09-28,Casteldaccia,0,0
2020-09-29,Casteldaccia,0,0
2020-09-30,Casteldaccia,0,0
2020-10-01,Casteldaccia,0,0
2020-10-02,Casteldaccia,0,0
2020-10-03,Casteldaccia,0,0
2020-10-04,Casteldaccia,0,0
2020-10-05,Casteldaccia,0,0
2020-10-06,Casteldaccia,0,0
2020-10-07,Casteldaccia,0,0
2020-10-08,Casteldaccia,0,0
2020-10-09,Casteldaccia,0,0
2020-10-10,Casteldaccia,0,0
2020-10-11,Casteldaccia,0,0
2020-10-12,Casteldaccia,0,0
2020-10-13,Casteldaccia,0,0
2020-10-14,Casteldaccia,0,1
2020-10-15,Casteldaccia,0,0
2020-10-16,Casteldaccia,0,0
2020-10-17,Casteldaccia,0,0
2020-10-18,Casteldaccia,0,0
2020-10-19,Casteldaccia,0,0
2020-10-20,Casteldaccia,2,0
2020-10-21,Casteldaccia,0,0
2020-10-22,Casteldaccia,0,0
2020-10-23,Casteldaccia,4,0
2020-10-24,Casteldaccia,2,0
2020-10-25,Casteldaccia,1,0
2020-10-26,Casteldaccia,2,1
2020-10-27,Casteldaccia,2,0
2020-10-28,Casteldaccia,0,0
2020-10-29,Casteldaccia,8,0
2020-10-30,Casteldaccia,2,0
2020-10-31,Casteldaccia,1,0
2020-11-01,Casteldaccia,1,0
2020-11-02,Casteldaccia,4,0
2020-11-03,Casteldaccia,0,0
2020-11-04,Casteldaccia,7,0
2020-11-05,Casteldaccia,2,0
2020-11-06,Casteldaccia,5,0
2020-11-07,Casteldaccia,1,0
2020-11-08,Casteldaccia,0,0
2020-11-09,Casteldaccia,0,0
2020-11-10,Casteldaccia,2,0
2020-11-11,Casteldaccia,1,0
2020-11-12,Casteldaccia,4,0
2020-11-13,Casteldaccia,3,0
2020-11-14,Casteldaccia,5,0
2020-11-15,Casteldaccia,0,0
2020-11-16,Casteldaccia,1,0
2020-11-17,Casteldaccia,2,1
2020-11-18,Casteldaccia,0,1
2020-11-19,Casteldaccia,6,0
2020-11-20,Casteldaccia,1,0
2020-11-21,Casteldaccia,5,0
2020-11-22,Casteldaccia,24,0
2020-11-23,Casteldaccia,2,0
2020-11-24,Casteldaccia,1,0
2020-11-25,Casteldaccia,3,0
2020-11-26,Casteldaccia,12,0
2020-11-27,Casteldaccia,2,0
2020-11-28,Casteldaccia,7,0
2020-11-29,Casteldaccia,3,0
2020-11-30,Casteldaccia,1,0
2020-12-01,Casteldaccia,1,0
2020-12-02,Casteldaccia,0,0
2020-12-03,Casteldaccia,1,0
2020-12-04,Casteldaccia,0,0
2020-12-05,Casteldaccia,2,0
2020-12-06,Casteldaccia,0,0
2020-12-07,Casteldaccia,1,0
2020-12-08,Casteldaccia,0,0
2020-12-09,Casteldaccia,1,0
2020-12-10,Casteldaccia,2,0
2020-12-11,Casteldaccia,1,0
2020-12-12,Casteldaccia,0,0
2020-12-13,Casteldaccia,0,0
2020-12-14,Casteldaccia,3,1
2020-12-15,Casteldaccia,1,0
2020-12-16,Casteldaccia,2,0
2020-12-17,Casteldaccia,0,1
2020-12-18,Casteldaccia,1,0
2020-12-19,Casteldaccia,1,0
2020-12-20,Casteldaccia,10,0
2020-12-21,Casteldaccia,0,0
2020-12-22,Casteldaccia,0,0
2020-12-23,Casteldaccia,3,0
2020-12-24,Casteldaccia,0,0
2020-12-25,Casteldaccia,2,0
2020-12-26,Casteldaccia,0,0
2020-12-27,Casteldaccia,1,0
2020-12-28,Casteldaccia,1,0
2020-12-29,Casteldaccia,3,0
2020-12-30,Casteldaccia,8,0
2020-12-31,Casteldaccia,0,0
2021-01-01,Casteldaccia,1,0
2021-01-02,Casteldaccia,6,0
2021-01-03,Casteldaccia,0,0
2021-01-04,Casteldaccia,3,0
2021-01-05,Casteldaccia,0,1
2021-01-06,Casteldaccia,0,0
2021-01-07,Casteldaccia,8,0
2021-01-08,Casteldaccia,1,0
2021-01-09,Casteldaccia,1,0
2021-01-10,Casteldaccia,0,0
2021-01-11,Casteldaccia,1,0
2021-01-12,Casteldaccia,0,0
2021-01-13,Casteldaccia,39,1
2021-01-14,Casteldaccia,2,0
2021-01-15,Casteldaccia,5,0
2021-01-16,Casteldaccia,4,0
2021-01-17,Casteldaccia,0,0
2021-01-18,Casteldaccia,2,0
2021-01-19,Casteldaccia,3,0
2021-01-20,Casteldaccia,7,0
2021-01-21,Casteldaccia,0,0
2021-01-22,Casteldaccia,5,1
2021-01-23,Casteldaccia,2,0
2021-01-24,Casteldaccia,1,0
2021-01-25,Casteldaccia,5,0
2021-01-26,Casteldaccia,1,0
2021-01-27,Casteldaccia,6,0
2021-01-28,Casteldaccia,9,0
2021-01-29,Casteldaccia,2,0
2021-01-30,Casteldaccia,1,1
2021-01-31,Casteldaccia,0,2
2021-02-01,Casteldaccia,0,0
2021-02-02,Casteldaccia,6,1
2021-02-03,Casteldaccia,1,0
2021-02-04,Casteldaccia,5,0
2021-02-05,Casteldaccia,1,1
2021-02-06,Casteldaccia,0,0
2021-02-07,Casteldaccia,0,1
2021-02-08,Casteldaccia,0,0
2021-02-09,Casteldaccia,0,0
2021-02-10,Casteldaccia,1,0
2021-02-11,Casteldaccia,2,0
2021-02-12,Casteldaccia,0,0
2021-02-13,Casteldaccia,0,0
2021-02-14,Casteldaccia,0,0
2021-02-15,Casteldaccia,7,0
2021-02-16,Casteldaccia,0,0
2021-02-17,Casteldaccia,0,0
2021-02-18,Casteldaccia,0,0
2021-02-19,Casteldaccia,0,0
2021-02-20,Casteldaccia,0,0
2021-02-21,Casteldaccia,0,0
2021-02-22,Casteldaccia,0,0
2021-02-23,Casteldaccia,5,0
2021-02-24,Casteldaccia,1,0
2021-02-25,Casteldaccia,1,0
2021-02-26,Casteldaccia,0,0
2021-02-27,Casteldaccia,0,0
2021-02-28,Casteldaccia,0,0
2021-03-01,Casteldaccia,0,0
2021-03-02,Casteldaccia,0,0
2021-03-03,Casteldaccia,0,0
2021-03-04,Casteldaccia,1,0
2021-03-05,Casteldaccia,2,0
2021-03-06,Casteldaccia,1,0
2021-03-07,Casteldaccia,0,0
2021-03-08,Casteldaccia,0,0
2021-03-09,Casteldaccia,8,0
2021-03-10,Casteldaccia,5,0
2021-03-11,Casteldaccia,2,0
2021-03-12,Casteldaccia,0,0
2021-03-13,Casteldaccia,1,0
2021-03-14,Casteldaccia,0,0
2021-03-15,Casteldaccia,1,0
2021-03-16,Casteldaccia,2,0
2021-03-17,Casteldaccia,4,0
2021-03-18,Casteldaccia,3,0
2021-03-19,Casteldaccia,1,0
2021-03-20,Casteldaccia,0,0
2021-03-21,Casteldaccia,0,0
2021-03-22,Casteldaccia,0,0
2021-03-23,Casteldaccia,3,0
2021-03-24,Casteldaccia,5,0
2021-03-25,Casteldaccia,5,0
2021-03-26,Casteldaccia,1,0
2021-03-27,Casteldaccia,8,0
2021-03-28,Casteldaccia,0,0
2021-03-29,Casteldaccia,0,0
2021-03-30,Casteldaccia,0,0
2021-03-31,Casteldaccia,4,0
2021-04-01,Casteldaccia,1,0
2021-04-02,Casteldaccia,1,0
2021-04-03,Casteldaccia,2,0
2021-04-04,Casteldaccia,0,0
2021-04-05,Casteldaccia,1,0
2021-04-06,Casteldaccia,1,0
2021-04-07,Casteldaccia,0,0
2021-04-08,Casteldaccia,4,1
2021-04-09,Casteldaccia,0,0
2021-04-10,Casteldaccia,0,0
2021-04-11,Casteldaccia,4,0
2021-04-12,Casteldaccia,3,0
2021-04-13,Casteldaccia,9,1
2021-04-14,Casteldaccia,0,0
2021-04-15,Casteldaccia,9,0
2021-04-16,Casteldaccia,2,0
2021-04-17,Casteldaccia,15,0
2021-04-18,Casteldaccia,0,0
2021-04-19,Casteldaccia,0,0
2021-04-20,Casteldaccia,0,0
2021-04-21,Casteldaccia,4,0
2021-04-22,Casteldaccia,16,0
2021-04-23,Casteldaccia,2,1
2021-04-24,Casteldaccia,3,0
2021-04-25,Casteldaccia,0,0
2021-04-26,Casteldaccia,6,1
2021-04-27,Casteldaccia,1,0
2021-04-28,Casteldaccia,0,0
2021-04-29,Casteldaccia,22,0
2021-04-30,Casteldaccia,6,0
2021-05-01,Casteldaccia,3,1
2021-05-02,Casteldaccia,1,0
2021-05-03,Casteldaccia,3,0
2021-05-04,Casteldaccia,2,0
2021-05-05,Casteldaccia,0,0
2021-05-06,Casteldaccia,0,0
2021-05-07,Casteldaccia,0,1
2021-05-08,Casteldaccia,8,0
2021-05-09,Casteldaccia,0,1
2021-05-10,Casteldaccia,0,0
2021-05-11,Casteldaccia,3,1
2021-05-12,Casteldaccia,2,0
2021-05-13,Casteldaccia,1,0
2021-05-14,Casteldaccia,0,0
2021-05-15,Casteldaccia,0,0
2021-05-16,Casteldaccia,0,0
2021-05-17,Casteldaccia,0,0
